"Index","NTN.Close"
2007-01-02,86
2007-01-03,83.9
2007-01-04,86
2007-01-05,86
2007-01-08,86
2007-01-09,81
2007-01-10,86
2007-01-11,86
2007-01-12,86
2007-01-15,86
2007-01-16,86
2007-01-17,86
2007-01-18,86
2007-01-19,86
2007-01-22,86
2007-01-23,86
2007-01-24,86
2007-01-25,86
2007-01-26,86
2007-01-29,82
2007-01-30,86
2007-01-31,83.9
2007-02-01,86
2007-02-02,86
2007-02-05,86
2007-02-06,81
2007-02-07,83.9
2007-02-08,86
2007-02-09,81
2007-02-12,81
2007-02-13,86
2007-02-14,81
2007-02-15,86
2007-02-16,86
2007-02-19,86
2007-02-20,81
2007-02-21,86
2007-02-22,86
2007-02-23,86
2007-02-26,86
2007-02-27,86
2007-02-28,86
2007-03-01,86
2007-03-02,86
2007-03-05,86
2007-03-06,81
2007-03-07,83.9
2007-03-08,81
2007-03-09,86
2007-03-12,81
2007-03-13,81
2007-03-14,86
2007-03-15,86
2007-03-16,86
2007-03-19,86
2007-03-20,85
2007-03-21,85
2007-03-22,85
2007-03-23,85
2007-03-26,81
2007-03-27,81
2007-03-28,85
2007-03-29,80
2007-03-30,83.9
2007-04-02,80
2007-04-03,78
2007-04-04,78
2007-04-05,85
2007-04-10,83.9
2007-04-11,80
2007-04-12,85
2007-04-13,85
2007-04-16,85
2007-04-17,85
2007-04-18,85
2007-04-19,80
2007-04-20,80
2007-04-23,80
2007-04-24,85
2007-04-25,80
2007-04-26,85
2007-04-27,78
2007-04-30,85
2007-05-01,85
2007-05-02,80
2007-05-03,85
2007-05-04,85
2007-05-08,85
2007-05-09,85
2007-05-10,85
2007-05-11,80
2007-05-14,85
2007-05-15,85
2007-05-16,85
2007-05-17,85
2007-05-18,80
2007-05-21,87
2007-05-22,87
2007-05-23,87
2007-05-24,87
2007-05-25,78
2007-05-29,82
2007-05-30,82
2007-05-31,87.3
2007-06-01,87
2007-06-04,80
2007-06-05,80
2007-06-06,87
2007-06-07,87.3
2007-06-08,87
2007-06-11,87
2007-06-12,87
2007-06-13,82
2007-06-14,87
2007-06-15,87
2007-06-25,80
2007-06-26,85
2007-06-27,85
2007-06-28,88
2007-06-29,85
2007-07-02,85
2007-07-03,85.5
2007-07-04,85
2007-07-05,85
2007-07-06,85
2007-07-09,85
2007-07-10,85
2007-07-11,85
2007-07-12,85
2007-07-13,85
2007-07-16,85
2007-07-17,85
2007-07-18,85
2007-07-19,80
2007-07-20,85
2007-07-23,90
2007-07-24,85
2007-07-25,85
2007-07-26,85.5
2007-07-27,85
2007-07-30,85
2007-07-31,85
2007-08-01,80
2007-08-02,85
2007-08-03,85
2007-08-06,85
2007-08-07,85
2007-08-08,88
2007-08-09,85
2007-08-10,85
2007-08-13,85
2007-08-14,85
2007-08-15,85
2007-08-16,85
2007-08-17,80
2007-08-20,85
2007-08-21,85
2007-08-22,85
2007-08-23,85
2007-08-24,85
2007-08-28,85
2007-08-29,85
2007-08-30,85
2007-08-31,85
2007-09-03,85
2007-09-04,80
2007-09-05,85
2007-09-06,85
2007-09-07,85
2007-09-10,85
2007-09-11,77
2007-09-12,85
2007-09-13,85
2007-09-14,85
2007-09-17,85
2007-09-18,85
2007-09-19,85
2007-09-20,85
2007-09-21,85
2007-09-24,80
2007-09-25,85
2007-09-26,85
2007-09-27,85
2007-09-28,86.1
2007-10-01,85
2007-10-02,85
2007-10-03,80
2007-10-04,85
2007-10-05,85
2007-10-08,85
2007-10-09,85
2007-10-10,85
2007-10-11,80
2007-10-12,80
2007-10-15,80
2007-10-16,85
2007-10-17,85
2007-10-18,85
2007-10-19,85
2007-10-22,85
2007-10-23,85
2007-10-24,85
2007-10-25,85
2007-10-26,85
2007-10-29,85
2007-10-30,85
2007-10-31,85
2007-11-01,85
2007-11-02,85
2007-11-05,80
2007-11-06,85
2007-11-07,85
2007-11-08,86.5
2007-11-09,86.5
2007-11-12,86.5
2007-11-13,86.5
2007-11-14,86.5
2007-11-15,86.5
2007-11-16,86.5
2007-11-19,86.5
2007-11-20,86.5
2007-11-21,86.5
2007-11-22,86.5
2007-11-23,86.5
2007-11-26,86.5
2007-11-27,86.5
2007-11-28,86.5
2007-11-29,87.5
2007-11-30,87.5
2007-12-03,87.5
2007-12-04,87.5
2007-12-05,87.5
2007-12-06,87.5
2007-12-07,87.5
2007-12-10,87.5
2007-12-11,87.5
2007-12-12,85
2007-12-13,85
2007-12-14,85
2007-12-17,85
2007-12-18,85.5
2007-12-19,85
2007-12-20,85
2007-12-21,86.5
2007-12-24,86.5
2007-12-27,86.5
2007-12-28,86.5
2007-12-31,86.5
2008-01-02,86.5
2008-01-03,86.5
2008-01-04,86.5
2008-01-07,86.5
2008-01-08,86.5
2008-01-09,86.5
2008-01-10,86.5
2008-01-11,86.5
2008-01-14,86.5
2008-01-15,86.5
2008-01-16,86.5
2008-01-17,86.5
2008-01-18,86.5
2008-01-21,86.5
2008-01-22,86.5
2008-01-23,86.5
2008-01-24,86.5
2008-01-25,86.5
2008-01-28,83
2008-01-29,86.5
2008-01-30,86.5
2008-01-31,86.5
2008-02-01,86.5
2008-02-04,86.5
2008-02-05,86.5
2008-02-06,86.5
2008-02-07,86.5
2008-02-08,86.5
2008-02-11,86.5
2008-02-12,86.5
2008-02-13,86.5
2008-02-14,86.5
2008-02-15,86.5
2008-02-18,86.5
2008-02-19,86.5
2008-02-20,86.5
2008-02-21,86.5
2008-02-22,86.5
2008-02-25,86.5
2008-02-26,86.5
2008-02-27,86.5
2008-02-28,86.5
2008-02-29,86.5
2008-03-03,86.5
2008-03-04,86.5
2008-03-05,84.5
2008-03-06,84.5
2008-03-07,84.5
2008-03-10,84.5
2008-03-11,84.5
2008-03-12,84.5
2008-03-13,84.5
2008-03-14,84.5
2008-03-17,84.5
2008-03-18,84
2008-03-19,84.5
2008-03-20,84
2008-03-25,84
2008-03-26,84
2008-03-27,84
2008-03-28,84.5
2008-03-31,84.5
2008-04-01,84.5
2008-04-02,84.5
2008-04-03,81
2008-04-04,84
2008-04-07,84
2008-04-09,84
2008-04-10,84.5
2008-04-11,84
2008-04-14,83
2008-04-15,84
2008-04-16,84
2008-04-17,84
2008-04-18,84
2008-04-21,84
2008-04-22,84.5
2008-04-23,84
2008-04-24,80
2008-04-25,84
2008-04-28,80
2008-04-29,84
2008-04-30,84
2008-05-01,84
2008-05-02,84
2008-05-06,84.5
2008-05-07,84
2008-05-08,84
2008-05-09,84
2008-05-12,84
2008-05-13,84
2008-05-14,80
2008-05-15,84
2008-05-16,84
2008-05-19,84
2008-05-20,80
2008-05-21,84
2008-05-22,84
2008-05-23,86.5
2008-05-28,86.5
2008-05-29,86.5
2008-05-30,86.5
2008-06-02,86.5
2008-06-03,86.5
2008-06-04,86.5
2008-06-05,86.5
2008-06-06,86.5
2008-06-09,86.5
2008-06-10,86.5
2008-06-11,86.5
2008-06-12,86.5
2008-06-13,86.5
2008-06-16,86.5
2008-06-17,86.5
2008-06-18,86.5
2008-06-19,85
2008-06-20,86.5
2008-06-23,85
2008-06-24,86.5
2008-06-25,86.5
2008-06-26,86.5
2008-06-27,86.5
2008-06-30,86.7
2008-07-01,86.5
2008-07-02,86.5
2008-07-03,85
2008-07-04,86.5
2008-07-07,85
2008-07-08,86.5
2008-07-09,85
2008-07-10,85
2008-07-11,86.5
2008-07-14,86.5
2008-07-15,86.5
2008-07-16,85
2008-07-17,86.5
2008-07-18,86.5
2008-07-21,84
2008-07-22,86.5
2008-07-23,86.5
2008-07-24,86.5
2008-07-25,86.5
2008-07-28,86.5
2008-07-29,86.5
2008-07-30,86.5
2008-07-31,85.5
2008-08-01,85.5
2008-08-04,85.5
2008-08-05,85.5
2008-08-06,85.5
2008-08-07,85.5
2008-08-08,85.5
2008-08-11,85.5
2008-08-12,85.5
2008-08-13,85.5
2008-08-14,85.5
2008-08-15,85.5
2008-08-18,85.5
2008-08-19,85.5
2008-08-20,85.5
2008-08-21,85.5
2008-08-22,85.5
2008-08-26,85.5
2008-08-27,85.5
2008-08-28,85.5
2008-08-29,85.5
2008-09-01,85.5
2008-09-02,85.5
2008-09-03,85.5
2008-09-04,85.5
2008-09-05,85.5
2008-09-08,85.5
2008-09-09,84
2008-09-10,85.5
2008-09-11,83
2008-09-12,85.5
2008-09-15,85.5
