"Index","ANSU.Close"
2010-12-20,0.01
2011-01-04,0.01
2011-06-06,0.01
2011-08-23,0.01
2012-03-21,0.01
2012-04-03,0.01
2012-06-27,0.01
2012-09-26,0.01
2012-12-28,0.01
2013-06-18,0
2013-08-02,0.31
2013-08-05,1.27
2013-08-06,0.66
2013-08-07,1.66
2013-08-08,1.24
2013-08-09,1.19
2013-08-12,0.8
2013-08-13,0.3
2013-08-14,0.53
2013-08-15,0.44
2013-08-16,0.4
2013-08-19,0.35
2013-08-20,0.3
2013-08-21,0.34
2013-08-22,0.4
2013-08-23,0.4
2013-08-26,0.37
2013-08-27,0.32
2013-08-28,0.34
2013-08-29,0.31
2013-08-30,0.31
2013-09-03,0.3
2013-09-04,0.3
2013-09-05,0.18
2013-09-06,0.16
2013-09-09,0.15
2013-09-10,0.2
2013-09-11,0.16
2013-09-12,0.16
2013-09-13,0.2
2013-09-16,0.16
2013-09-17,0.21
2013-09-18,0.2
2013-09-19,0.2
2013-09-20,0.16
2013-09-23,0.16
2013-09-25,0.16
2013-09-26,0.14
2013-09-27,0.14
2013-10-01,0.14
2013-10-02,0.14
2013-10-03,0.14
2013-10-04,0.14
2013-10-08,0.14
2013-10-09,0.14
2013-10-11,0.21
2013-10-14,0.21
2013-10-16,0.14
2013-10-17,0.14
2013-10-21,0.19
2013-10-23,0.17
2013-10-24,0.14
2013-10-29,0.14
2013-10-30,0.14
2013-11-01,0.14
2013-11-04,0.14
2013-11-05,0.15
2013-11-06,0.14
2013-11-07,0.14
2013-11-08,0.14
2013-11-11,0.13
2013-11-12,0.07
2013-11-13,0.08
2013-11-18,0.07
2013-11-21,0.05
2013-11-29,0.1
2013-12-06,0.1
2013-12-09,0.05
2013-12-10,0.05
2013-12-16,0.05
2013-12-18,0.05
2013-12-19,0.05
2013-12-23,0.05
2013-12-31,0.05
2014-01-03,0.04
2014-01-06,0.08
2014-01-07,0.08
2014-01-10,0.08
2014-01-13,0.08
2014-01-15,0.04
2014-01-16,0.04
2014-01-17,0.08
2014-01-22,0.08
2014-01-23,0.08
2014-01-24,0.08
2014-01-28,0.08
2014-01-29,0.05
2014-01-30,0.05
2014-02-03,0.05
2014-02-10,0.05
2014-02-12,0.07
2014-02-14,0.05
2014-02-18,0.05
2014-02-19,0.05
2014-02-20,0.05
2014-02-24,0.05
2014-02-25,0.05
2014-02-26,0.05
2014-02-28,0.05
2014-03-04,0.41
2014-03-05,0.27
2014-03-06,0.28
2014-03-07,0.16
2014-03-10,0.21
2014-03-11,0.26
2014-03-12,0.2
2014-03-13,0.23
2014-03-14,0.22
2014-03-17,0.16
2014-03-18,0.25
2014-03-19,0.16
2014-03-20,0.16
2014-03-21,0.15
2014-03-24,0.17
2014-03-25,0.15
2014-03-26,0.15
2014-03-27,0.15
2014-03-28,0.15
2014-04-02,0.13
2014-04-04,0.12
2014-04-08,0.14
2014-04-09,0.12
2014-04-10,0.13
2014-04-14,0.19
2014-04-15,0.16
2014-04-16,0.15
2014-04-17,0.12
2014-04-21,0.18
2014-04-22,0.14
2014-04-23,0.2
2014-04-24,0.14
2014-04-25,0.15
2014-04-28,0.15
2014-04-29,0.15
2014-04-30,0.15
2014-05-01,0.16
2014-05-02,0.14
2014-05-05,0.14
2014-05-06,0.15
2014-05-07,0.15
2014-05-08,0.15
2014-05-09,0.15
2014-05-12,0.16
2014-05-13,0.12
2014-05-14,0.18
2014-05-15,0.19
2014-05-16,0.18
2014-05-19,0.17
2014-05-20,0.17
2014-05-21,0.16
2014-05-22,0.18
2014-05-23,0.2
2014-05-27,0.18
2014-05-29,0.18
2014-05-30,0.18
2014-06-02,0.13
2014-06-03,0.14
2014-06-04,0.17
2014-06-05,0.13
2014-06-06,0.17
2014-06-09,0.17
2014-06-10,0.14
2014-06-11,0.13
2014-06-13,0.13
2014-06-16,0.16
2014-06-18,0.12
2014-06-19,0.15
2014-06-25,0.12
2014-06-26,0.13
2014-06-27,0.15
2014-07-02,0.13
2014-07-03,0.15
2014-07-07,0.13
2014-07-08,0.14
2014-07-09,0.14
2014-07-10,0.14
2014-07-11,0.14
2014-07-16,0.13
2014-07-21,0.13
2014-07-24,0.13
2014-07-25,0.13
2014-08-04,0.08
2014-08-06,0.13
2014-08-12,0.13
2014-08-18,0.12
2014-08-22,0.13
2014-08-25,0.13
2014-08-28,0.13
2014-09-02,0.05
2014-09-03,0.13
2014-09-09,0.13
2014-09-12,0.05
2014-09-15,0.06
2014-09-16,0.08
2014-09-17,0.13
2014-09-25,0.13
2014-10-03,0.12
2014-10-06,0.12
2014-10-07,0.12
2014-10-13,0.12
2014-10-17,0.12
2014-10-22,0.12
2014-10-23,0.12
2014-10-30,0.12
2014-11-05,0.11
2014-11-10,0.05
2014-11-11,0.06
2014-11-12,0.11
2014-11-13,0.11
2014-11-14,0.11
2014-11-19,0.06
2014-11-21,0.11
2014-11-25,0.11
2014-11-28,0.07
2014-12-01,0.07
2014-12-03,0.08
2014-12-09,0.07
2014-12-15,0.07
2014-12-18,0.07
2014-12-22,0.06
2014-12-23,0.06
2014-12-31,0.07
2015-01-12,0.07
