"Index","AAON.Close"
2007-01-03,5.26
2007-01-04,5.33
2007-01-05,5.19
2007-01-08,5.23
2007-01-09,5.25
2007-01-10,5.24
2007-01-11,5.37
2007-01-12,5.53
2007-01-16,5.52
2007-01-17,5.47
2007-01-18,5.24
2007-01-19,5.43
2007-01-22,5.23
2007-01-23,5.32
2007-01-24,5.51
2007-01-25,5.5
2007-01-26,5.47
2007-01-29,5.43
2007-01-30,5.46
2007-01-31,5.43
2007-02-01,5.51
2007-02-02,5.49
2007-02-05,5.39
2007-02-06,5.48
2007-02-07,5.45
2007-02-08,5.52
2007-02-09,5.5
2007-02-12,5.52
2007-02-13,5.58
2007-02-14,5.6
2007-02-15,5.61
2007-02-16,5.61
2007-02-20,5.83
2007-02-21,5.73
2007-02-22,5.67
2007-02-23,5.6
2007-02-26,5.6
2007-02-27,5.48
2007-02-28,5.49
2007-03-01,5.44
2007-03-02,5.37
2007-03-05,5.08
2007-03-06,5.2
2007-03-07,5.14
2007-03-08,5.15
2007-03-09,5.2
2007-03-12,5.14
2007-03-13,4.88
2007-03-14,5.51
2007-03-15,5.58
2007-03-16,5.28
2007-03-19,5.31
2007-03-20,5.34
2007-03-21,5.33
2007-03-22,5.45
2007-03-23,5.3
2007-03-26,5.25
2007-03-27,5.16
2007-03-28,5.05
2007-03-29,5.06
2007-03-30,5.16
2007-04-02,5.13
2007-04-03,5.06
2007-04-04,5.12
2007-04-05,5.08
2007-04-09,5.12
2007-04-10,5.12
2007-04-11,4.96
2007-04-12,5.04
2007-04-13,4.94
2007-04-16,4.94
2007-04-17,5.08
2007-04-18,5.05
2007-04-19,4.88
2007-04-20,4.96
2007-04-23,4.94
2007-04-24,5.11
2007-04-25,5.23
2007-04-26,5.23
2007-04-27,4.98
2007-04-30,4.88
2007-05-01,5.07
2007-05-02,5.15
2007-05-03,5.14
2007-05-04,5.12
2007-05-07,5.06
2007-05-08,5.17
2007-05-09,5.63
2007-05-10,5.69
2007-05-11,5.84
2007-05-14,5.93
2007-05-15,5.58
2007-05-16,5.53
2007-05-17,5.48
2007-05-18,5.47
2007-05-21,5.55
2007-05-22,5.88
2007-05-23,5.67
2007-05-24,5.67
2007-05-25,5.46
2007-05-29,5.65
2007-05-30,5.89
2007-05-31,5.87
2007-06-01,5.92
2007-06-04,5.93
2007-06-05,5.91
2007-06-06,5.79
2007-06-07,5.68
2007-06-08,5.81
2007-06-11,5.87
2007-06-12,5.68
2007-06-13,5.7
2007-06-14,5.73
2007-06-15,5.76
2007-06-18,5.86
2007-06-19,6.12
2007-06-20,6.04
2007-06-21,6.13
2007-06-22,6.09
2007-06-25,6.05
2007-06-26,6.14
2007-06-27,6.33
2007-06-28,6.33
2007-06-29,6.29
2007-07-02,6.37
2007-07-03,6.43
2007-07-05,6.32
2007-07-06,6.37
2007-07-09,6.32
2007-07-10,6.17
2007-07-11,6.23
2007-07-12,6.52
2007-07-13,6.64
2007-07-16,6.68
2007-07-17,6.72
2007-07-18,6.72
2007-07-19,6.81
2007-07-20,6.46
2007-07-23,6.48
2007-07-24,6.24
2007-07-25,6.1
2007-07-26,5.95
2007-07-27,5.75
2007-07-30,5.97
2007-07-31,5.91
2007-08-01,6.18
2007-08-02,6.53
2007-08-03,6.36
2007-08-06,6.59
2007-08-07,6.82
2007-08-08,6.78
2007-08-09,6.64
2007-08-10,6.36
2007-08-13,6.27
2007-08-14,6.08
2007-08-15,6.04
2007-08-16,6.06
2007-08-17,6.32
2007-08-20,6.13
2007-08-21,6.2
2007-08-22,6.36
2007-08-23,5.96
