"Index","IPOW.Close"
2012-09-25,0.15
2012-10-09,0.25
2013-02-14,0.75
2013-04-08,0.45
2013-04-09,0.4
2013-08-02,0.53
2013-08-28,0.8
2013-09-04,0.75
2013-09-06,0.75
2013-09-11,0.76
2013-09-17,0.76
2013-09-19,0.76
2013-10-15,0.75
2013-10-17,0.65
