"Index","OCC.Close"
2010-01-04,NA
2010-01-05,0.01829
2010-01-06,-0.01829
2010-01-07,-0.02177
2010-01-08,-0.02226
2010-01-11,0.03786
2010-01-12,-0.03145
2010-01-13,0.0127
2010-01-14,0
2010-01-15,0.00315
2010-01-19,-0.01266
2010-01-20,0.10854
2010-01-21,0.03371
2010-01-22,0
2010-01-25,-0.01953
2010-01-26,0.02778
2010-01-27,0.019
2010-01-28,0.07257
2010-01-29,-0.13068
2010-02-01,-0.0407
2010-02-02,-0.04553
2010-02-03,0.00927
2010-02-04,-0.00308
2010-02-05,0.03934
2010-02-08,-0.03934
2010-02-09,0.00308
2010-02-10,0
2010-02-16,-0.03125
2010-02-17,0.00317
2010-02-18,-0.01595
2010-02-19,-0.03268
2010-02-23,0.00992
2010-02-24,-0.01325
2010-02-25,0
2010-02-26,0.01653
2010-03-01,0.02908
2010-03-02,0.00635
2010-03-03,-0.01274
2010-03-04,-0.0129
2010-03-05,-0.01637
2010-03-08,-0.01664
2010-03-09,0.02649
2010-03-10,0
2010-03-11,-0.00327
2010-03-12,0.01626
2010-03-16,0.016
2010-03-17,0.00317
2010-03-18,-0.03216
2010-03-19,0.06024
2010-03-22,-0.02177
2010-03-24,-0.01585
2010-03-25,0.00637
2010-03-26,0.02817
2010-03-29,0
2010-03-30,0.04526
2010-03-31,0.00295
2010-04-05,-0.07004
2010-04-06,0
2010-04-07,0.04623
2010-04-08,-0.04308
2010-04-09,-0.00948
2010-04-13,0.00948
2010-04-14,0.0156
2010-04-15,0.01841
2010-04-16,0.00303
2010-04-19,-0.0339
2010-04-20,0.00313
2010-04-21,0
2010-04-22,-0.01258
2010-04-23,0.00945
2010-04-26,0.00625
2010-04-27,-0.01887
2010-04-29,0.00317
2010-04-30,0
2010-05-03,-0.00954
2010-05-04,0.01899
2010-05-05,-0.0158
2010-05-06,-0.00319
2010-05-07,-0.00641
2010-05-10,-0.00969
2010-05-11,0.06291
2010-05-12,-0.05322
