"Index","AFOP.Close"
2007-01-03,1.01
2007-01-04,1.05
2007-01-05,1
2007-01-08,1
2007-01-09,1
2007-01-10,1.03
2007-01-11,1.04
2007-01-12,1.03
2007-01-16,1.02
2007-01-17,1.01
2007-01-18,1
2007-01-19,1.02
2007-01-22,1
2007-01-23,1
2007-01-24,1.01
2007-01-25,1.01
2007-01-26,1.02
2007-01-29,1.01
2007-01-30,1.02
2007-01-31,1.02
2007-02-01,1.05
2007-02-02,1.08
2007-02-05,1.06
2007-02-06,1.09
2007-02-07,1.1
2007-02-08,1.09
2007-02-09,1.06
2007-02-12,1.04
2007-02-13,1.03
2007-02-14,1.01
2007-02-15,1
2007-02-16,0.94
2007-02-20,0.98
2007-02-21,1
2007-02-22,1
2007-02-23,1.01
2007-02-26,1.02
2007-02-27,1
2007-02-28,1
2007-03-01,1
2007-03-02,1
2007-03-05,0.98
2007-03-06,0.98
2007-03-07,0.99
2007-03-08,0.98
2007-03-09,0.95
2007-03-12,0.96
2007-03-13,0.97
2007-03-14,0.96
2007-03-15,0.98
2007-03-16,0.96
2007-03-19,0.96
2007-03-20,0.95
2007-03-21,0.96
2007-03-22,0.96
2007-03-23,0.97
2007-03-26,0.96
2007-03-27,0.95
2007-03-28,0.96
2007-03-29,0.96
2007-03-30,0.95
2007-04-02,0.96
2007-04-03,0.98
2007-04-04,0.98
2007-04-05,0.98
2007-04-09,1
2007-04-10,0.98
2007-04-11,0.98
2007-04-12,0.98
2007-04-13,0.98
2007-04-16,0.98
2007-04-17,0.98
2007-04-18,0.98
2007-04-19,0.98
2007-04-20,0.98
2007-04-23,0.98
2007-04-24,0.98
2007-04-25,0.98
2007-04-26,1.01
2007-04-27,1
2007-04-30,1
2007-05-01,1
2007-05-02,1
2007-05-03,1
2007-05-04,0.97
2007-05-07,0.9
2007-05-08,0.88
2007-05-09,0.84
2007-05-10,0.84
2007-05-11,0.84
2007-05-14,0.85
2007-05-15,0.85
2007-05-16,0.86
2007-05-17,0.86
2007-05-18,0.85
2007-05-21,0.86
2007-05-22,0.85
2007-05-23,0.86
2007-05-24,0.86
2007-05-25,0.86
2007-05-29,0.86
2007-05-30,0.86
2007-05-31,0.86
2007-06-01,0.88
2007-06-04,0.86
2007-06-05,0.88
2007-06-06,0.87
2007-06-07,0.88
2007-06-08,0.87
2007-06-11,0.86
2007-06-12,0.86
2007-06-13,0.85
2007-06-14,0.88
2007-06-15,0.88
2007-06-18,0.86
2007-06-19,0.88
2007-06-20,0.88
2007-06-21,0.92
2007-06-22,0.9
2007-06-25,0.94
2007-06-26,1.02
2007-06-27,1.05
2007-06-28,1.04
2007-06-29,1.04
2007-07-02,1.03
2007-07-03,1
2007-07-05,1
2007-07-06,1.01
2007-07-09,1.02
2007-07-10,1.03
2007-07-11,1.03
2007-07-12,1.06
2007-07-13,1.06
2007-07-16,1.1
2007-07-17,1.1
2007-07-18,1.09
2007-07-19,1.1
2007-07-20,1.1
2007-07-23,1.12
2007-07-24,1.1
2007-07-25,1.14
2007-07-26,1.16
2007-07-27,1.22
2007-07-30,1.2
2007-07-31,1.18
2007-08-01,1.12
2007-08-02,1.1
2007-08-03,1.08
2007-08-06,1.04
2007-08-07,1.02
2007-08-08,1.04
2007-08-09,1.05
2007-08-10,1.04
2007-08-13,1.06
2007-08-14,1.04
2007-08-15,1
2007-08-16,0.95
2007-08-17,0.98
2007-08-20,0.98
2007-08-21,1
2007-08-22,1
2007-08-23,0.99
2007-08-24,0.98
2007-08-27,0.95
2007-08-28,0.92
2007-08-29,0.92
2007-08-30,0.92
2007-08-31,0.92
2007-09-04,0.97
2007-09-05,0.94
2007-09-06,0.94
2007-09-07,0.9
2007-09-10,0.9
2007-09-11,0.88
2007-09-12,0.88
2007-09-13,0.92
2007-09-14,0.9
2007-09-17,0.92
2007-09-18,0.92
2007-09-19,0.96
2007-09-20,0.98
2007-09-21,0.97
2007-09-24,0.97
2007-09-25,0.96
2007-09-26,0.96
2007-09-27,0.98
2007-09-28,0.94
2007-10-01,1
2007-10-02,1.08
2007-10-03,1.06
2007-10-04,1.07
2007-10-05,1.07
2007-10-08,1.06
2007-10-09,1.06
2007-10-10,1.08
2007-10-11,1.08
2007-10-12,1.06
2007-10-15,1.08
2007-10-16,1.02
2007-10-17,1.06
2007-10-18,1.07
2007-10-19,1.08
2007-10-22,1.04
2007-10-23,1.08
2007-10-24,1.1
2007-10-25,1.1
2007-10-26,1.08
2007-10-29,1.03
2007-10-30,1.03
2007-10-31,1.02
2007-11-01,1
2007-11-02,1
2007-11-05,0.95
2007-11-06,0.97
2007-11-07,0.97
2007-11-08,0.92
2007-11-09,0.92
2007-11-12,0.88
2007-11-13,0.89
2007-11-14,0.9
2007-11-15,0.9
2007-11-16,0.9
2007-11-19,0.89
2007-11-20,0.9
2007-11-21,0.9
2007-11-23,0.9
2007-11-26,0.9
2007-11-27,0.9
2007-11-28,0.9
2007-11-29,0.9
2007-11-30,0.88
2007-12-03,0.86
2007-12-04,0.86
2007-12-05,0.9
2007-12-06,0.89
2007-12-07,0.9
2007-12-10,0.88
2007-12-11,0.86
2007-12-12,0.86
2007-12-13,0.86
2007-12-14,0.86
2007-12-17,0.85
2007-12-18,0.88
2007-12-19,0.93
2007-12-20,0.95
2007-12-21,0.96
2007-12-24,0.98
2007-12-26,1.02
2007-12-27,1.01
2007-12-28,1
2007-12-31,1.01
2008-01-02,1.01
2008-01-03,0.95
2008-01-04,0.94
2008-01-07,0.96
2008-01-08,0.93
2008-01-09,0.9
2008-01-10,0.92
2008-01-11,0.9
2008-01-14,0.88
2008-01-15,0.9
2008-01-16,0.88
2008-01-17,0.87
2008-01-18,0.84
2008-01-22,0.81
2008-01-23,0.8
2008-01-24,0.82
2008-01-25,0.87
2008-01-28,0.92
2008-01-29,0.94
2008-01-30,0.9
2008-01-31,0.88
2008-02-01,0.86
2008-02-04,0.88
2008-02-05,0.85
2008-02-06,0.84
2008-02-07,0.82
2008-02-08,0.85
2008-02-11,0.85
2008-02-12,0.84
2008-02-13,0.85
2008-02-14,0.86
2008-02-15,0.84
2008-02-19,0.81
2008-02-20,0.83
2008-02-21,0.84
2008-02-22,0.82
2008-02-25,0.8
2008-02-26,0.82
2008-02-27,0.83
2008-02-28,0.8
2008-02-29,0.78
2008-03-03,0.68
2008-03-04,0.65
2008-03-05,0.62
2008-03-06,0.62
2008-03-07,0.62
2008-03-10,0.6
2008-03-11,0.64
2008-03-12,0.65
2008-03-13,0.64
2008-03-14,0.64
2008-03-17,0.62
