"Index","ATML.Close"
2007-01-03,6.1
2007-01-04,6.17
2007-01-05,6.11
2007-01-08,6.15
2007-01-09,6.24
2007-01-10,6.3
2007-01-11,6.07
2007-01-12,6.25
2007-01-16,6.2
2007-01-17,6.14
2007-01-18,6
2007-01-19,5.96
2007-01-22,5.79
2007-01-23,5.8
2007-01-24,5.96
2007-01-25,5.84
2007-01-26,5.91
2007-01-29,5.9
2007-01-30,5.97
2007-01-31,5.98
2007-02-01,5.83
2007-02-02,5.87
2007-02-05,5.91
2007-02-06,5.77
2007-02-07,5.8
2007-02-08,5.7
2007-02-09,5.55
2007-02-12,5.62
2007-02-13,5.75
2007-02-14,5.59
2007-02-15,5.78
2007-02-16,5.85
2007-02-20,5.78
2007-02-21,5.72
2007-02-22,5.77
2007-02-23,5.72
2007-02-26,5.8
2007-02-27,5.47
2007-02-28,5.54
2007-03-01,5.52
2007-03-02,5.33
2007-03-05,5.27
2007-03-06,5.34
2007-03-07,5.2
2007-03-08,5.41
2007-03-09,5.37
2007-03-12,5.3
2007-03-13,5.26
2007-03-14,5.22
2007-03-15,5.22
2007-03-16,4.96
2007-03-19,5.08
2007-03-20,5.14
2007-03-21,5.22
2007-03-22,5.2
2007-03-23,5.17
2007-03-26,5.21
2007-03-27,5.17
2007-03-28,5.06
2007-03-29,4.97
2007-03-30,5.03
2007-04-02,5
2007-04-03,5.04
2007-04-04,5.13
2007-04-05,5.1
2007-04-09,5.1
2007-04-10,5.12
2007-04-11,5.06
2007-04-12,5.03
2007-04-13,5.04
2007-04-16,5.18
2007-04-17,5.2
2007-04-18,5.3
2007-04-19,5.31
2007-04-20,5.17
2007-04-23,5.25
2007-04-24,5.3
2007-04-25,5.45
2007-04-26,5.37
2007-04-27,5.35
2007-04-30,5.32
2007-05-01,5.31
2007-05-02,5.56
2007-05-03,5.49
2007-05-04,5.6
2007-05-07,5.78
2007-05-08,5.62
2007-05-09,5.86
2007-05-10,5.71
2007-05-11,5.77
2007-05-14,5.67
2007-05-15,5.59
2007-05-16,5.61
2007-05-17,5.57
2007-05-18,5.73
2007-05-21,5.67
2007-05-22,5.64
2007-05-23,5.47
2007-05-24,5.33
2007-05-25,5.37
2007-05-29,5.35
2007-05-30,5.39
2007-05-31,5.59
2007-06-01,5.75
2007-06-04,5.68
2007-06-05,5.78
2007-06-06,5.67
2007-06-07,5.57
2007-06-08,5.63
2007-06-11,5.62
2007-06-12,5.5
2007-06-13,5.46
2007-06-14,5.51
2007-06-15,5.48
2007-06-18,5.43
2007-06-19,5.43
2007-06-20,5.35
2007-06-21,5.5
2007-06-22,5.7
2007-06-25,5.67
2007-06-26,5.82
2007-06-27,5.71
2007-06-28,5.73
2007-06-29,5.56
2007-07-02,5.53
2007-07-03,5.75
2007-07-05,5.7
