"Index","ARIA.Close"
2007-01-03,5.11
2007-01-04,5.18
2007-01-05,5.17
2007-01-08,5.12
2007-01-09,5.39
2007-01-10,5.34
2007-01-11,5.4
2007-01-12,5.52
2007-01-16,5.48
2007-01-17,5.42
2007-01-18,5.22
2007-01-19,5.33
2007-01-22,5.26
2007-01-23,5.2
2007-01-24,5.32
2007-01-25,5.27
2007-01-26,5.3
2007-01-29,5.27
2007-01-30,5.31
2007-01-31,5.12
2007-02-01,5.12
2007-02-02,5.04
2007-02-05,5
2007-02-06,4.87
2007-02-07,4.84
2007-02-08,4.9
2007-02-09,4.96
2007-02-12,5.25
2007-02-13,5.19
2007-02-14,5.52
2007-02-15,5.23
2007-02-16,5.05
2007-02-20,5.45
2007-02-21,5.43
2007-02-22,5.44
2007-02-23,5.3
2007-02-26,5.27
2007-02-27,4.93
2007-02-28,4.83
2007-03-01,4.71
2007-03-02,4.41
2007-03-05,4.42
2007-03-06,4.64
2007-03-07,4.54
2007-03-08,4.41
2007-03-09,4.46
2007-03-12,4.48
2007-03-13,4.3
2007-03-14,4.29
2007-03-15,4.22
2007-03-16,4.1
2007-03-19,4.26
2007-03-20,4.28
2007-03-21,4.36
2007-03-22,4.48
2007-03-23,4.53
2007-03-26,4.4
2007-03-27,4.35
2007-03-28,4.31
2007-03-29,4.38
2007-03-30,4.49
2007-04-02,4.43
2007-04-03,4.51
2007-04-04,4.55
2007-04-05,4.94
2007-04-09,4.32
2007-04-10,4.38
2007-04-11,4.26
2007-04-12,4.35
2007-04-13,4.44
2007-04-16,4.49
2007-04-17,4.45
2007-04-18,4.42
2007-04-19,4.4
2007-04-20,4.5
2007-04-23,4.52
2007-04-24,4.64
2007-04-25,4.54
2007-04-26,4.63
2007-04-27,4.86
2007-04-30,4.61
2007-05-01,4.9
2007-05-02,4.95
2007-05-03,4.86
2007-05-04,4.91
2007-05-07,4.97
2007-05-08,5.07
2007-05-09,5.02
2007-05-10,5.11
2007-05-11,5.16
2007-05-14,5.13
2007-05-15,5.06
2007-05-16,5.08
2007-05-17,5
2007-05-18,5.14
2007-05-21,5.23
2007-05-22,5.23
2007-05-23,5.4
2007-05-24,5.26
2007-05-25,5.34
2007-05-29,5.36
2007-05-30,5.49
2007-05-31,5.43
2007-06-01,5.44
2007-06-04,5.11
2007-06-05,5.5
2007-06-06,5.22
2007-06-07,5.42
2007-06-08,5.37
2007-06-11,5.61
2007-06-12,5.3
2007-06-13,5.53
2007-06-14,5.68
2007-06-15,5.65
2007-06-18,5.71
2007-06-19,5.46
2007-06-20,5.63
2007-06-21,5.53
2007-06-22,5.74
2007-06-25,5.57
2007-06-26,5.43
2007-06-27,5.67
