"Index","VIV.Close"
2010-01-04,NA
2010-01-05,-0.01473
2010-01-06,0.01906
2010-01-07,-0.02187
2010-01-08,8e-04
2010-01-11,-0.01131
2010-01-12,-0.00611
2010-01-13,0.00082
2010-01-14,-0.01772
2010-01-15,-0.00291
2010-01-19,-0.0046
2010-01-20,-0.00926
2010-01-21,-0.01448
2010-01-22,-0.01078
2010-01-25,-0.00087
2010-01-26,-0.00784
2010-01-27,-0.00219
2010-01-28,-0.01948
2010-01-29,0.00045
2010-02-01,0.01815
2010-02-02,-0.00528
2010-02-03,-0.00842
2010-02-04,-0.02204
2010-02-05,-0.01235
2010-02-08,-0.00739
2010-02-09,0.02519
2010-02-10,-0.00453
2010-02-11,0.0104
2010-02-12,-0.01632
2010-02-16,0.01272
2010-02-17,0.00135
2010-02-18,0.01209
2010-02-19,-0.00805
2010-02-22,0.00135
2010-02-23,-0.01718
2010-02-24,0.00772
2010-02-25,-0.0059
2010-02-26,0.00091
2010-03-01,0.00454
2010-03-02,0
2010-03-03,-0.00363
2010-03-04,0.00045
2010-03-05,0.00724
2010-03-08,-0.00588
2010-03-09,0.01172
2010-03-10,0.02348
2010-03-11,0.00698
2010-03-12,-0.01313
2010-03-15,-0.00221
2010-03-16,-0.00576
2010-03-17,-0.00178
2010-03-18,-0.00625
2010-03-19,-0.02677
2010-03-22,0.00642
2010-03-23,0.00592
2010-03-24,-0.02111
2010-03-25,-0.02537
2010-03-26,0.00285
2010-03-29,0.02529
2010-03-30,-0.00324
2010-03-31,0.0097
2010-04-01,0.00641
2010-04-05,0.00909
2010-04-06,0.00361
2010-04-07,-9e-04
2010-04-08,-0.06912
2010-04-09,-0.01265
2010-04-12,-0.01331
2010-04-13,-0.00348
2010-04-14,0.00447
2010-04-15,-0.00896
2010-04-16,-0.01868
2010-04-19,-0.00255
2010-04-20,0.0302
2010-04-21,-0.01097
2010-04-22,-0.00351
2010-04-23,-0.01418
2010-04-26,0.00204
2010-04-27,-0.03208
