"Index","ADSK.Close"
2007-01-03,40.56
2007-01-04,41.33
2007-01-05,41.93
2007-01-08,41.8
2007-01-09,42.32
2007-01-10,42.72
2007-01-11,43.92
2007-01-12,43.74
2007-01-16,44.2
2007-01-17,44.49
2007-01-18,43.09
2007-01-19,42.23
2007-01-22,42.42
2007-01-23,42.7
2007-01-24,42.83
2007-01-25,42.27
2007-01-26,42.45
2007-01-29,42.2
2007-01-30,43.38
2007-01-31,43.72
2007-02-01,44.26
2007-02-02,44.29
2007-02-05,44.72
2007-02-06,43.72
2007-02-07,42.29
2007-02-08,42.26
2007-02-09,41.93
2007-02-12,41.48
2007-02-13,41.33
2007-02-14,42.68
2007-02-15,42.61
2007-02-16,42.21
2007-02-20,42.19
2007-02-21,42.02
2007-02-22,42.13
2007-02-23,42.47
2007-02-26,42.18
2007-02-27,40.8
2007-02-28,41.15
2007-03-01,40.32
2007-03-02,39.79
2007-03-05,38.83
2007-03-06,39.34
2007-03-07,38.94
2007-03-08,38.53
2007-03-09,38.54
2007-03-12,38.46
2007-03-13,37.44
2007-03-14,37.76
2007-03-15,37.6
2007-03-16,37.4
2007-03-19,37.83
2007-03-20,38.6
2007-03-21,39.69
2007-03-22,38.95
2007-03-23,38.38
2007-03-26,38.04
2007-03-27,37.76
2007-03-28,37.59
2007-03-29,37.15
2007-03-30,37.6
2007-04-02,38.25
2007-04-03,38.49
2007-04-04,38.87
2007-04-05,39.55
2007-04-09,38.84
2007-04-10,40.33
2007-04-11,39.41
2007-04-12,39.64
2007-04-13,39.24
2007-04-16,39.71
2007-04-17,39.81
2007-04-18,39.69
2007-04-19,39.61
2007-04-20,39.65
2007-04-23,39.78
2007-04-24,40.54
2007-04-25,41.04
2007-04-26,41.76
2007-04-27,41.99
2007-04-30,41.27
2007-05-01,41.4
2007-05-02,41.93
2007-05-03,41.53
2007-05-04,41.7
2007-05-07,41.9
2007-05-08,42.71
2007-05-09,42.93
2007-05-10,42.34
2007-05-11,43.27
2007-05-14,43.42
2007-05-15,43.08
2007-05-16,43.8
2007-05-17,43.3
2007-05-18,44.3
2007-05-21,45.13
2007-05-22,45.53
2007-05-23,45.51
2007-05-24,44.74
2007-05-25,44.97
2007-05-29,44.9
2007-05-30,45.03
2007-05-31,45.45
2007-06-01,44.9
2007-06-04,45.1
2007-06-05,44.79
2007-06-06,44.55
2007-06-07,43.67
2007-06-08,44.18
2007-06-11,44.83
2007-06-12,45.79
2007-06-13,47.04
2007-06-14,45.29
2007-06-15,45
2007-06-18,45.5
2007-06-19,46.5
2007-06-20,46.64
2007-06-21,47.17
2007-06-22,46.66
2007-06-25,46.91
2007-06-26,47.14
2007-06-27,47.72
2007-06-28,47.77
2007-06-29,47.08
2007-07-02,47.29
2007-07-03,46.1
2007-07-05,45.79
2007-07-06,45.2
2007-07-09,44.96
2007-07-10,44.9
2007-07-11,45.38
2007-07-12,46.9
2007-07-13,47
2007-07-16,47.03
2007-07-17,47.3
2007-07-18,46.77
2007-07-19,47.9
2007-07-20,44.54
2007-07-23,44.72
2007-07-24,44.34
2007-07-25,44.17
2007-07-26,43.63
2007-07-27,43.29
2007-07-30,43.83
2007-07-31,42.37
2007-08-01,43.69
2007-08-02,41.7
2007-08-03,40.47
2007-08-06,41.46
2007-08-07,42.91
2007-08-08,44.03
2007-08-09,43.63
2007-08-10,43.13
2007-08-13,44.62
2007-08-14,43.87
2007-08-15,42.61
2007-08-16,42.61
2007-08-17,44.9
2007-08-20,46.45
2007-08-21,45.69
2007-08-22,46.08
2007-08-23,45.04
2007-08-24,45.55
2007-08-27,45.47
2007-08-28,44.03
2007-08-29,45.14
2007-08-30,45.4
2007-08-31,46.32
2007-09-04,46.58
2007-09-05,46.84
2007-09-06,46.72
2007-09-07,45.15
2007-09-10,45.44
2007-09-11,46.55
2007-09-12,46.79
2007-09-13,47.24
2007-09-14,47.56
2007-09-17,47.21
2007-09-18,48.85
2007-09-19,49.9
2007-09-20,49.31
2007-09-21,48.72
2007-09-24,48.41
2007-09-25,49.89
2007-09-26,50.1
2007-09-27,49.8
2007-09-28,49.97
2007-10-01,49.82
2007-10-02,49.91
2007-10-03,49.64
2007-10-04,49.97
2007-10-05,50.56
2007-10-08,50.75
2007-10-09,50.75
2007-10-10,50.7
2007-10-11,49.96
2007-10-12,50.8
2007-10-15,49.85
2007-10-16,49.18
2007-10-17,48.37
2007-10-18,49.07
2007-10-19,46.96
2007-10-22,47.49
2007-10-23,47.22
2007-10-24,47.19
2007-10-25,47.25
2007-10-26,47.65
2007-10-29,47.71
2007-10-30,46.96
2007-10-31,48.9
2007-11-01,47.8
2007-11-02,48.81
2007-11-05,48.1
2007-11-06,49.71
2007-11-07,48.42
2007-11-08,47.36
2007-11-09,46.16
2007-11-12,44.84
2007-11-13,47.99
2007-11-14,47.53
2007-11-15,47.46
2007-11-16,46.41
2007-11-19,46.07
2007-11-20,46.34
2007-11-21,45.23
2007-11-23,45.79
2007-11-26,44.56
2007-11-27,45.87
2007-11-28,46.62
2007-11-29,47.46
2007-11-30,47.09
2007-12-03,47.53
2007-12-04,47.59
2007-12-05,48.72
2007-12-06,48.09
2007-12-07,48.2
2007-12-10,49.68
2007-12-11,49.1
2007-12-12,49.5
2007-12-13,50.33
2007-12-14,49.56
2007-12-17,48.55
2007-12-18,49.78
2007-12-19,49.68
2007-12-20,50.5
2007-12-21,50.99
2007-12-24,51.02
2007-12-26,51.04
2007-12-27,49.85
2007-12-28,50.26
2007-12-31,49.76
2008-01-02,48.24
2008-01-03,47.84
2008-01-04,45.7
2008-01-07,46.72
2008-01-08,44.82
2008-01-09,44.39
2008-01-10,44.66
2008-01-11,43.18
2008-01-14,44.32
2008-01-15,42.65
2008-01-16,42.49
2008-01-17,40.89
2008-01-18,41.24
2008-01-22,40.11
2008-01-23,40.75
2008-01-24,42.44
2008-01-25,41.3
2008-01-28,41.14
2008-01-29,40.78
2008-01-30,40.97
2008-01-31,41.15
2008-02-01,41.96
2008-02-04,41.22
2008-02-05,39.85
2008-02-06,38.72
2008-02-07,38.57
2008-02-08,38.94
2008-02-11,39.25
2008-02-12,38.48
2008-02-13,38.74
2008-02-14,38.7
2008-02-15,38.15
2008-02-19,37.9
2008-02-20,38.39
2008-02-21,38.95
2008-02-22,38.6
2008-02-25,39.3
2008-02-26,39.1
2008-02-27,32.99
2008-02-28,33.11
2008-02-29,31.09
2008-03-03,30.35
2008-03-04,29.9
2008-03-05,31.51
2008-03-06,31.2
2008-03-07,31.61
2008-03-10,31.55
2008-03-11,33.21
2008-03-12,32.9
2008-03-13,34.53
2008-03-14,34.08
2008-03-17,33.91
2008-03-18,33.05
2008-03-19,31.39
2008-03-20,32
2008-03-24,32.63
2008-03-25,33.12
2008-03-26,32.74
2008-03-27,31.43
2008-03-28,31.77
2008-03-31,31.48
2008-04-01,32.83
2008-04-02,33.13
2008-04-03,33.49
2008-04-04,33.83
2008-04-07,33.73
2008-04-08,33.61
2008-04-09,32.7
2008-04-10,33.11
2008-04-11,31.99
2008-04-14,31.68
2008-04-15,31.47
2008-04-16,32.6
2008-04-17,32.22
2008-04-18,33.27
2008-04-21,33.75
2008-04-22,34.07
2008-04-23,35.55
2008-04-24,37.53
2008-04-25,39.38
2008-04-28,38.55
2008-04-29,38.92
2008-04-30,38
2008-05-01,39.31
2008-05-02,39.42
2008-05-05,38.35
2008-05-06,39.29
2008-05-07,38.24
2008-05-08,38.83
2008-05-09,39.1
2008-05-12,39.67
2008-05-13,40.08
2008-05-14,40.19
2008-05-15,40.94
2008-05-16,40.74
2008-05-19,40.27
2008-05-20,39.61
2008-05-21,39.43
2008-05-22,39.42
2008-05-23,38.75
2008-05-27,39.65
2008-05-28,39.7
2008-05-29,40.93
2008-05-30,41.16
2008-06-02,40.42
2008-06-03,40.56
2008-06-04,40.81
2008-06-05,41.49
2008-06-06,40.51
2008-06-09,40.77
2008-06-10,39.9
2008-06-11,38.24
2008-06-12,38.08
2008-06-13,38.54
2008-06-16,39.28
2008-06-17,39.51
2008-06-18,38.63
2008-06-19,38.8
2008-06-20,36.88
2008-06-23,36.09
2008-06-24,35.74
2008-06-25,36.35
2008-06-26,34.77
2008-06-27,34.03
2008-06-30,33.81
2008-07-01,34.64
2008-07-02,33.65
2008-07-03,33.96
2008-07-07,33.68
2008-07-08,34.6
2008-07-09,33.01
2008-07-10,33.72
2008-07-11,33.05
2008-07-14,33.3
2008-07-15,34.1
2008-07-16,35.25
2008-07-17,35.99
2008-07-18,36.01
2008-07-21,34.25
2008-07-22,33.81
2008-07-23,33.91
2008-07-24,32.74
2008-07-25,32.76
2008-07-28,32.2
2008-07-29,32.74
2008-07-30,32.75
2008-07-31,31.89
2008-08-01,33.67
2008-08-04,32.77
2008-08-05,33.72
2008-08-06,34.2
2008-08-07,34.1
2008-08-08,35.26
2008-08-11,35.54
2008-08-12,34.39
2008-08-13,34.28
2008-08-14,34.35
2008-08-15,38.37
2008-08-18,37.92
2008-08-19,36.61
2008-08-20,37.13
2008-08-21,36.62
2008-08-22,37.16
2008-08-25,36.2
2008-08-26,36.4
2008-08-27,36.93
2008-08-28,37.54
2008-08-29,35.53
2008-09-02,35.43
2008-09-03,34.62
2008-09-04,34.37
2008-09-05,33.77
2008-09-08,34.34
2008-09-09,33.95
2008-09-10,33.46
2008-09-11,34.32
2008-09-12,34.44
2008-09-15,33.42
2008-09-16,33.54
2008-09-17,32.15
2008-09-18,33.46
2008-09-19,35.71
2008-09-22,33.51
2008-09-23,33.15
2008-09-24,33.6
2008-09-25,34.21
2008-09-26,35.21
2008-09-29,32.17
2008-09-30,33.55
2008-10-01,32.52
2008-10-02,30.45
2008-10-03,30.72
2008-10-06,28.46
2008-10-07,26.87
2008-10-08,27.06
2008-10-09,25.25
2008-10-10,24.2
2008-10-13,27.77
2008-10-14,25.85
2008-10-15,23.2
2008-10-16,25.38
2008-10-17,24.56
2008-10-20,25.17
2008-10-21,24.38
2008-10-22,22.85
2008-10-23,22.92
2008-10-24,21.84
2008-10-27,20.68
2008-10-28,23.24
2008-10-29,22.31
2008-10-30,21.96
2008-10-31,21.31
2008-11-03,22.88
2008-11-04,22.5
2008-11-05,21
2008-11-06,19.88
2008-11-07,20.76
2008-11-10,20.45
2008-11-11,19.77
2008-11-12,19.03
2008-11-13,20.84
2008-11-14,19.53
2008-11-17,19.09
2008-11-18,19.15
2008-11-19,17.86
2008-11-20,16.82
2008-11-21,14.37
2008-11-24,15.69
2008-11-25,16.02
2008-11-26,16.89
2008-11-28,16.59
2008-12-01,14.83
2008-12-02,15.57
2008-12-03,15.84
2008-12-04,15.13
2008-12-05,16.04
2008-12-08,18.35
2008-12-09,18.26
2008-12-10,17.99
2008-12-11,17.39
2008-12-12,18.4
2008-12-15,17.61
2008-12-16,19.13
2008-12-17,19.21
2008-12-18,18.41
2008-12-19,18.52
2008-12-22,18.26
2008-12-23,18.34
2008-12-24,18.69
2008-12-26,18.89
2008-12-29,18.43
2008-12-30,18.97
2008-12-31,19.65
2009-01-02,20.68
2009-01-05,20.88
2009-01-06,20.85
2009-01-07,20.07
2009-01-08,19.2
2009-01-09,18.47
2009-01-12,18.78
2009-01-13,18.46
2009-01-14,17.73
2009-01-15,15.48
2009-01-16,16.14
2009-01-20,15.72
2009-01-21,16.77
2009-01-22,16.13
2009-01-23,16.26
2009-01-26,16.43
2009-01-27,16.91
2009-01-28,17.25
2009-01-29,16.93
2009-01-30,16.56
2009-02-02,16.53
2009-02-03,17.19
2009-02-04,17.41
2009-02-05,17.81
2009-02-06,18.54
2009-02-09,18.2
2009-02-10,17.2
2009-02-11,17.45
2009-02-12,17.55
2009-02-13,17.56
2009-02-17,16.57
2009-02-18,16.31
2009-02-19,15.85
2009-02-20,15.26
2009-02-23,14.39
2009-02-24,14.6
2009-02-25,14.3
2009-02-26,14.06
2009-02-27,12.69
2009-03-02,11.86
2009-03-03,11.79
2009-03-04,12.51
2009-03-05,12.05
2009-03-06,12.02
2009-03-09,11.78
2009-03-10,12.54
2009-03-11,12.31
2009-03-12,12.74
2009-03-13,12.83
2009-03-16,12.88
2009-03-17,13.21
2009-03-18,14
2009-03-19,13.87
2009-03-20,13.39
2009-03-23,14.59
2009-03-24,14.85
2009-03-25,15.3
2009-03-26,16.16
2009-03-27,16.07
2009-03-30,15.23
2009-03-31,16.81
2009-04-01,17.11
2009-04-02,17.98
2009-04-03,17.99
2009-04-06,18.27
2009-04-07,17.7
2009-04-08,18.44
2009-04-09,19.3
2009-04-13,18.76
2009-04-14,18.5
2009-04-15,18.39
2009-04-16,18.38
2009-04-17,18.51
2009-04-20,17.54
2009-04-21,18.15
2009-04-22,18.81
2009-04-23,18.52
2009-04-24,19.68
2009-04-27,19.01
2009-04-28,18.7
2009-04-29,19.45
2009-04-30,19.94
2009-05-01,19.63
2009-05-04,20.47
2009-05-05,20.44
2009-05-06,20.47
2009-05-07,19.47
2009-05-08,19.7
2009-05-11,19.8
2009-05-12,19.4
2009-05-13,18.5
2009-05-14,18.84
2009-05-15,19
2009-05-18,19.48
2009-05-19,19.42
2009-05-20,19.14
2009-05-21,18.83
2009-05-22,20.7
2009-05-26,21.12
2009-05-27,21.16
2009-05-28,21.19
2009-05-29,21.46
2009-06-01,22.66
2009-06-02,22.22
2009-06-03,22.08
2009-06-04,22.19
2009-06-05,22.17
2009-06-08,22.03
2009-06-09,22.46
2009-06-10,22.3
2009-06-11,22.4
2009-06-12,22.24
2009-06-15,21.31
2009-06-16,20.98
2009-06-17,20.97
2009-06-18,20.72
2009-06-19,20.54
2009-06-22,19.8
2009-06-23,19.74
2009-06-24,19.84
2009-06-25,20.08
2009-06-26,19.75
2009-06-29,19.54
2009-06-30,18.98
2009-07-01,18.66
2009-07-02,18.11
2009-07-06,18.17
2009-07-07,17.69
2009-07-08,17.01
2009-07-09,17.75
2009-07-10,17.79
2009-07-13,17.96
2009-07-14,18.04
2009-07-15,18.46
2009-07-16,18.68
2009-07-17,18.77
2009-07-20,19.31
2009-07-21,20.34
2009-07-22,21.14
2009-07-23,21.96
2009-07-24,22.3
2009-07-27,21.9
2009-07-28,22.51
2009-07-29,21.92
2009-07-30,21.79
2009-07-31,21.81
2009-08-03,21.89
2009-08-04,21.92
2009-08-05,21.76
2009-08-06,21.81
2009-08-07,23.76
2009-08-10,23.87
2009-08-11,23.98
2009-08-12,24.73
2009-08-13,24.2
2009-08-14,25.38
2009-08-17,23.84
2009-08-18,24.36
2009-08-19,24.17
2009-08-20,24.27
2009-08-21,24.51
2009-08-24,24.02
2009-08-25,24.28
2009-08-26,24.19
2009-08-27,24.26
2009-08-28,23.92
2009-08-31,23.43
2009-09-01,22.7
2009-09-02,22.76
2009-09-03,22.56
2009-09-04,23.12
2009-09-08,22.81
2009-09-09,22.91
2009-09-10,23.78
2009-09-11,24.19
2009-09-14,23.92
2009-09-15,23.49
2009-09-16,24.07
2009-09-17,23.56
2009-09-18,23.54
2009-09-21,24.07
2009-09-22,23.9
2009-09-23,23.71
2009-09-24,23.52
2009-09-25,23.61
2009-09-28,24.06
2009-09-29,24.2
2009-09-30,23.8
2009-10-01,22.85
2009-10-02,22.62
2009-10-05,23.01
2009-10-06,23.76
2009-10-07,23.86
2009-10-08,23.92
2009-10-09,24.47
2009-10-12,25.02
2009-10-13,25.09
2009-10-14,25.23
2009-10-15,25.49
2009-10-16,25.49
2009-10-19,25.97
2009-10-20,25.71
2009-10-21,26.93
2009-10-22,27.08
2009-10-23,26.58
2009-10-26,26.11
2009-10-27,25.78
2009-10-28,25.48
2009-10-29,25.85
2009-10-30,24.93
2009-11-02,25.23
2009-11-03,25.23
2009-11-04,25.43
2009-11-05,26.12
2009-11-06,26.49
2009-11-09,27.59
2009-11-10,27.6
2009-11-11,27.69
2009-11-12,26.98
2009-11-13,27.25
2009-11-16,27.44
2009-11-17,27
2009-11-18,24.2
2009-11-19,24.05
2009-11-20,23.81
2009-11-23,24.36
2009-11-24,23.88
2009-11-25,24.03
2009-11-27,23.62
2009-11-30,23.45
2009-12-01,23.96
2009-12-02,23.91
2009-12-03,23.91
2009-12-04,24.95
2009-12-07,24.72
2009-12-08,24.5
2009-12-09,23.74
2009-12-10,23.44
2009-12-11,23.63
2009-12-14,24.56
2009-12-15,24.45
2009-12-16,24.52
2009-12-17,24.19
2009-12-18,24.61
2009-12-21,25.02
2009-12-22,25
2009-12-23,25.3
2009-12-24,25.88
2009-12-28,25.44
2009-12-29,25.51
2009-12-30,25.52
2009-12-31,25.41
2010-01-04,25.67
2010-01-05,25.28
2010-01-06,25.34
2010-01-07,25.48
2010-01-08,26.26
2010-01-11,26.25
2010-01-12,25.89
2010-01-13,26.25
2010-01-14,26.6
2010-01-15,26.08
2010-01-19,26.17
2010-01-20,26.12
2010-01-21,25.69
2010-01-22,25.1
2010-01-25,24.75
2010-01-26,24.38
2010-01-27,24.47
2010-01-28,23.79
2010-01-29,23.79
2010-02-01,23.81
2010-02-02,23.95
2010-02-03,24.02
2010-02-04,22.95
2010-02-05,23.07
2010-02-08,23.1
2010-02-09,23.55
2010-02-10,23.59
2010-02-11,24.18
2010-02-12,24.22
2010-02-16,25.24
2010-02-17,25.88
2010-02-18,25.92
2010-02-19,25.99
2010-02-22,26.08
2010-02-23,25.66
2010-02-24,27.89
2010-02-25,27.93
2010-02-26,27.88
2010-03-01,28.15
2010-03-02,28.49
2010-03-03,28.61
2010-03-04,28.47
2010-03-05,28.85
2010-03-08,28.91
2010-03-09,29.06
2010-03-10,29.18
2010-03-11,29.03
2010-03-12,29.16
2010-03-15,29.26
2010-03-16,29.31
2010-03-17,29.52
2010-03-18,29.42
2010-03-19,29.11
2010-03-22,29.5
2010-03-23,29.71
2010-03-24,29.43
2010-03-25,29.49
2010-03-26,29.5
2010-03-29,29.56
2010-03-30,29.4
2010-03-31,29.38
2010-04-05,30.18
2010-04-06,30.91
2010-04-07,30.65
2010-04-08,31.09
2010-04-09,31.13
2010-04-12,31.43
2010-04-13,31.7
2010-04-14,31.7
2010-04-15,31.88
2010-04-16,31.55
2010-04-19,31.26
2010-04-20,32.16
2010-04-21,32.45
2010-04-22,33.64
2010-04-23,34.22
2010-04-26,34.72
2010-04-27,33.84
2010-04-28,34.13
2010-04-29,34.67
2010-04-30,33.99
2010-05-03,34.89
2010-05-04,33.25
2010-05-05,31.71
2010-05-06,30.56
2010-05-07,30.06
2010-05-10,32.4
2010-05-11,31.62
2010-05-12,32.77
2010-05-13,32.36
2010-05-14,30.77
2010-05-17,30.72
2010-05-18,30.15
2010-05-19,30.35
2010-05-20,28.28
2010-05-21,29.37
2010-05-24,29.42
2010-05-25,28.97
2010-05-26,28.66
2010-05-27,29.59
2010-05-28,29.26
2010-06-01,28.56
2010-06-02,29.24
2010-06-03,29.98
2010-06-04,27.92
2010-06-07,26.69
2010-06-08,26.3
2010-06-09,26.44
2010-06-10,27.4
2010-06-11,27.58
2010-06-14,27.49
2010-06-15,28.54
2010-06-16,28.5
2010-06-17,28.51
2010-06-18,29.24
2010-06-21,29
2010-06-22,28.43
2010-06-23,27.83
2010-06-24,26.26
2010-06-25,26.58
2010-06-28,26
2010-06-29,24.58
2010-06-30,24.36
2010-07-01,24.57
2010-07-02,24.31
2010-07-06,24.05
2010-07-07,24.73
2010-07-08,24.61
2010-07-09,24.93
2010-07-12,25.08
2010-07-13,26.19
2010-07-14,26.48
2010-07-15,26.47
2010-07-16,25.35
2010-07-19,25.54
2010-07-20,26.62
2010-07-21,26.57
2010-07-22,28.04
2010-07-23,28.85
2010-07-26,29.75
2010-07-27,29.15
2010-07-28,28.69
2010-07-29,29.24
2010-07-30,29.54
2010-08-02,30.74
2010-08-03,30.49
2010-08-04,30.86
2010-08-05,30.3
2010-08-06,28.77
2010-08-09,29.03
2010-08-10,28.6
2010-08-11,27.92
2010-08-12,27.45
2010-08-13,28.12
2010-08-16,27.66
2010-08-17,27.91
2010-08-18,28.23
2010-08-19,27.63
2010-08-20,28.11
2010-08-23,27.36
2010-08-24,27.41
2010-08-25,27.52
2010-08-26,27.4
2010-08-27,28.38
2010-08-30,27.53
2010-08-31,27.73
2010-09-01,28.83
2010-09-02,29.32
2010-09-03,30.02
2010-09-07,29.49
2010-09-08,30.07
2010-09-09,30.38
2010-09-10,30.96
2010-09-13,31.96
2010-09-14,32.31
2010-09-15,32.49
2010-09-16,32.73
2010-09-17,32.56
2010-09-20,33.44
2010-09-21,33.07
2010-09-22,31.66
2010-09-23,31.22
2010-09-24,31.97
2010-09-27,31.79
2010-09-28,32.34
2010-09-29,31.94
2010-09-30,31.97
2010-10-01,31.88
2010-10-04,31.38
2010-10-05,32.71
2010-10-06,31.44
2010-10-07,31.94
2010-10-08,31.43
2010-10-11,31.86
2010-10-12,32.68
2010-10-13,33.46
2010-10-14,33.35
2010-10-15,33.32
2010-10-18,33.16
2010-10-19,32.77
2010-10-20,34.01
2010-10-21,34.22
2010-10-22,34.84
2010-10-25,35.43
2010-10-26,35.63
2010-10-27,35.63
2010-10-28,35.42
2010-10-29,36.2
2010-11-01,34.91
2010-11-02,35.31
2010-11-03,35.31
2010-11-04,35.84
2010-11-05,35.68
2010-11-08,35.41
2010-11-09,35.3
2010-11-10,35.86
2010-11-11,36.28
2010-11-12,35.25
2010-11-15,35.12
2010-11-16,34.52
2010-11-17,35.28
2010-11-18,36.26
2010-11-19,33.77
2010-11-22,34.81
2010-11-23,34.42
2010-11-24,35.43
2010-11-26,35.2
2010-11-29,35.52
2010-11-30,35.29
2010-12-01,36.57
2010-12-02,37.64
2010-12-03,37.99
2010-12-06,37.58
2010-12-07,37.27
2010-12-08,37.83
2010-12-09,38.09
2010-12-10,39.11
2010-12-13,38.55
2010-12-14,38.92
2010-12-15,38.31
2010-12-16,38.71
2010-12-17,39.13
2010-12-20,39.39
2010-12-21,39.65
2010-12-22,39.62
2010-12-23,39.31
2010-12-27,39.13
2010-12-28,39.01
2010-12-29,39.23
2010-12-30,38.79
2010-12-31,38.2
2011-01-03,39.27
2011-01-04,38.52
2011-01-05,41.24
2011-01-06,41.26
2011-01-07,40.76
2011-01-10,40.86
2011-01-11,40.8
2011-01-12,40.53
2011-01-13,41.08
2011-01-14,41.44
2011-01-18,42.03
2011-01-19,41.49
2011-01-20,41.31
2011-01-21,41.5
2011-01-24,41.05
2011-01-25,40.33
2011-01-26,40.88
2011-01-27,40.77
2011-01-28,39.97
2011-01-31,40.68
2011-02-01,42.16
2011-02-02,43.41
2011-02-03,43.75
2011-02-04,43.69
2011-02-07,43.52
2011-02-08,42.93
2011-02-09,42.24
2011-02-10,42.75
2011-02-11,42.69
2011-02-14,42.34
2011-02-15,42.71
2011-02-16,43.84
2011-02-17,43.66
2011-02-18,43.4
2011-02-22,42.1
2011-02-23,39.59
2011-02-24,40.43
2011-02-25,42.75
2011-02-28,42.05
2011-03-01,41.21
2011-03-02,40.35
2011-03-03,41.17
2011-03-04,40.71
2011-03-07,40.11
2011-03-08,40.68
