"Index","JERT.Close"
2007-01-03,20.96
2007-01-04,21.12
2007-01-05,20.79
2007-01-08,21.07
2007-01-09,20.8
2007-01-10,20.7
2007-01-11,20.27
2007-01-12,20.53
2007-01-16,20.39
2007-01-17,20.4
2007-01-18,20.01
2007-01-19,20.21
2007-01-22,20.36
2007-01-23,20.25
2007-01-24,20.33
2007-01-25,20.25
2007-01-26,20.29
2007-01-29,20.45
2007-01-30,20.5
2007-01-31,20.48
2007-02-01,20.88
2007-02-02,20.89
2007-02-05,20.64
2007-02-06,20.65
2007-02-07,20.54
2007-02-08,20.6
2007-02-09,20.09
2007-02-12,19.72
2007-02-13,19.7
2007-02-14,19.96
2007-02-15,20.02
2007-02-16,19.85
2007-02-20,20
2007-02-21,19.8
2007-02-22,19.78
2007-02-23,19.83
2007-02-26,19.25
2007-02-27,18.85
2007-02-28,19.02
2007-03-01,19.16
2007-03-02,18.76
2007-03-05,17.98
2007-03-06,18.38
2007-03-07,18.67
2007-03-08,18.64
2007-03-09,18.78
2007-03-12,18.31
2007-03-13,17.12
2007-03-14,16.78
2007-03-15,17.49
2007-03-16,17.31
2007-03-19,17.78
2007-03-20,18.5
2007-03-21,18.92
2007-03-22,19.49
2007-03-23,19.87
2007-03-26,19.62
2007-03-27,19.38
2007-03-28,18.75
2007-03-29,18.8
2007-03-30,19.02
2007-04-02,18.97
2007-04-03,19.02
2007-04-04,18.83
2007-04-05,19.23
2007-04-09,18.62
2007-04-10,18.77
2007-04-11,18.51
2007-04-12,18.44
2007-04-13,18.26
2007-04-16,18.66
2007-04-17,18.9
2007-04-18,18.86
2007-04-19,18.77
2007-04-20,18.9
2007-04-23,18.79
2007-04-24,18.6
2007-04-25,18.62
2007-04-26,18.77
2007-04-27,18.32
2007-04-30,17.61
2007-05-01,17.85
2007-05-02,17.85
2007-05-03,17.93
2007-05-04,18.16
2007-05-07,18.65
2007-05-08,17.64
2007-05-09,17.75
2007-05-10,17.81
2007-05-11,18.03
2007-05-14,17.55
2007-05-15,17.58
2007-05-16,17.5
2007-05-17,17.04
2007-05-18,17.17
2007-05-21,17.41
2007-05-22,17.92
2007-05-23,17.9
2007-05-24,17.81
2007-05-25,17.92
2007-05-29,18.25
2007-05-30,18.64
2007-05-31,18.79
2007-06-01,19.05
2007-06-04,19.04
2007-06-05,19.05
2007-06-06,18.43
2007-06-07,17.98
2007-06-08,18.3
2007-06-11,18.03
2007-06-12,17.28
2007-06-13,17.98
2007-06-14,17.83
2007-06-15,18.23
2007-06-18,18.5
2007-06-19,18.58
2007-06-20,18.03
2007-06-21,17.39
2007-06-22,16.88
2007-06-25,16.46
2007-06-26,15.81
2007-06-27,15.02
2007-06-28,15.02
2007-06-29,15
2007-07-02,14.98
2007-07-03,15.06
2007-07-05,14.86
2007-07-06,15.11
2007-07-09,14.83
2007-07-10,14.35
2007-07-11,14.09
2007-07-12,14.17
2007-07-13,14.09
2007-07-16,14.19
2007-07-17,14.2
2007-07-18,14
2007-07-19,14.24
2007-07-20,13.73
2007-07-23,13.13
2007-07-24,12.43
2007-07-25,12.7
2007-07-26,12.31
2007-07-27,12
2007-07-30,11.71
2007-07-31,10.97
2007-08-01,10.03
2007-08-02,9.68
2007-08-03,8.79
2007-08-06,8.93
2007-08-07,9.24
2007-08-08,10.63
2007-08-09,10.39
2007-08-10,10.55
2007-08-13,9.8
2007-08-14,9.48
2007-08-15,9.46
2007-08-16,10.52
2007-08-17,11.79
2007-08-20,12.8
2007-08-21,13.13
2007-08-22,13.1
2007-08-23,13
2007-08-24,12.49
2007-08-27,11.84
2007-08-28,12.1
2007-08-29,12.37
2007-08-30,12.23
2007-08-31,12.43
2007-09-04,13.13
2007-09-05,12.78
2007-09-06,12.84
2007-09-07,12.58
2007-09-10,12.55
2007-09-11,12.18
2007-09-12,12.55
2007-09-13,12.26
2007-09-14,12.82
2007-09-17,12.6
2007-09-18,13.24
2007-09-19,13.37
2007-09-20,13.46
2007-09-21,13.48
2007-09-24,13.8
2007-09-25,13.48
2007-09-26,12.8
2007-09-27,12.8
2007-09-28,12.45
2007-10-01,12.44
2007-10-02,12.8
2007-10-03,12.79
2007-10-04,13.01
2007-10-05,13
2007-10-08,12.99
2007-10-09,12.98
2007-10-10,12.73
2007-10-11,12.19
2007-10-12,12.09
2007-10-15,11.92
2007-10-16,11.79
2007-10-17,11.41
2007-10-18,11.16
2007-10-19,10.7
2007-10-22,10.77
2007-10-23,10.76
2007-10-24,10.33
2007-10-25,10.5
2007-10-26,11.45
2007-10-29,11.1
2007-10-30,11.03
2007-10-31,11.17
2007-11-01,10.34
2007-11-02,9.7
2007-11-05,9.58
2007-11-06,10.2
2007-11-07,9.01
2007-11-08,8.67
2007-11-09,9.08
2007-11-12,9.63
