"Index","FIO.Close"
2011-06-09,NA
2011-06-10,0.06454
2011-06-13,-0.03736
2011-06-14,0.00776
2011-06-15,-0.04971
2011-06-16,-0.08861
2011-06-17,0.05792
2011-06-20,0.05827
2011-06-21,0.09255
2011-06-22,0.04879
2011-06-23,0.01174
2011-06-24,0.07854
2011-06-27,0.15956
2011-06-28,-0.02676
2011-06-29,-0.09388
2011-06-30,0.00734
2011-07-01,0.0359
2011-07-05,0.05792
2011-07-06,-0.02481
2011-07-07,-0.06239
2011-07-08,0.03376
2011-07-11,-0.00833
2011-07-12,-0.01361
2011-07-13,0.0078
2011-07-14,-0.0013
2011-07-15,0.09132
2011-07-18,-0.05067
2011-07-19,-0.06129
2011-07-20,-0.07988
2011-07-21,0.00643
2011-07-22,0.06614
2011-07-25,0.03279
2011-07-26,0.03081
2011-07-27,-0.00596
2011-07-28,0.00565
2011-07-29,-0.07637
2011-08-01,-0.0095
2011-08-02,-0.03398
2011-08-03,-0.00815
2011-08-04,-0.17439
2011-08-05,0.09984
2011-08-08,-0.0519
2011-08-09,0.12217
2011-08-10,-0.01005
2011-08-11,0.02423
2011-08-12,-0.0053
2011-08-15,0.0382
2011-08-16,0.00272
2011-08-17,-0.0722
2011-08-18,-0.08814
2011-08-19,-0.07537
2011-08-22,-0.08338
2011-08-23,0.0042
2011-08-24,-0.01171
2011-08-25,0.02924
2011-08-26,0.01858
2011-08-29,0.04607
2011-08-30,0.08347
2011-08-31,-0.0123
2011-09-01,-0.07718
2011-09-02,-0.00259
2011-09-06,-0.01833
2011-09-07,-0.00309
2011-09-08,-0.11013
2011-09-09,-0.0331
2011-09-12,-0.0118
2011-09-13,0.07455
2011-09-14,-0.02326
2011-09-15,0.06178
2011-09-16,-0.06129
2011-09-19,0.00294
2011-09-20,-0.10281
2011-09-21,-0.09477
2011-09-22,-0.10602
2011-09-23,0.1497
2011-09-26,0.04294
2011-09-27,-0.00383
2011-09-28,0.01144
2011-09-29,-0.01969
2011-09-30,0.04853
2011-10-03,-0.02667
2011-10-04,0.0552
2011-10-05,0.01624
2011-10-06,0.05769
2011-10-07,0.0373
2011-10-10,0.05736
2011-10-11,0.08131
2011-10-12,0.01188
2011-10-13,-0.01507
2011-10-14,0.00757
2011-10-17,0.03469
2011-10-18,0.03242
2011-10-19,-0.05764
2011-10-20,-0.01106
2011-10-21,0.04998
2011-10-24,0.13617
2011-10-25,0.0105
2011-10-26,0.09578
2011-10-27,0.02922
2011-10-28,-0.02302
2011-10-31,-0.08967
2011-11-01,-0.03044
2011-11-02,0.06154
2011-11-03,0.09786
2011-11-04,0.05405
2011-11-07,0.02884
2011-11-08,-0.01922
2011-11-09,-0.10474
2011-11-10,-0.04963
2011-11-11,0.03566
2011-11-14,0.04393
2011-11-15,0.08773
2011-11-16,0.01949
2011-11-17,0.03764
2011-11-18,-0.01851
2011-11-21,-0.08949
2011-11-22,-0.1346
2011-11-23,-0.08366
2011-11-25,0.00753
2011-11-28,0.06117
2011-11-29,0.08275
2011-11-30,-0.01128
2011-12-01,-0.05493
2011-12-02,0.00817
2011-12-05,0.00531
2011-12-06,-0.09494
2011-12-07,-0.05054
2011-12-08,-0.06123
2011-12-09,0.02904
2011-12-12,-0.03249
2011-12-13,-0.02292
2011-12-14,-0.08998
2011-12-15,-0.03455
2011-12-16,0.02635
2011-12-19,-0.06491
2011-12-20,0.07869
2011-12-21,0.04473
2011-12-22,0.05178
2011-12-23,0.03883
2011-12-27,-0.00599
2011-12-28,-0.04455
2011-12-29,-0.04828
2011-12-30,-0.00248
2012-01-03,0.11281
2012-01-04,0.03447
2012-01-05,-0.01908
2012-01-06,0.00724
2012-01-09,0.01005
2012-01-10,-0.05659
2012-01-11,-0.00038
2012-01-12,0
2012-01-13,0.05124
2012-01-17,0.0125
2012-01-18,0.02937
2012-01-19,0.01776
2012-01-20,-0.0085
2012-01-23,0.00511
2012-01-24,0.03011
2012-01-25,-0.17379
2012-01-26,-0.03919
2012-01-27,0.01337
2012-01-30,-0.03148
2012-01-31,-0.04112
2012-02-01,-0.03792
2012-02-02,0.04095
2012-02-03,-0.0396
2012-02-06,0.10392
2012-02-07,-0.07125
2012-02-08,0.01723
2012-02-09,0.01903
2012-02-10,0.00335
2012-02-13,-0.04047
2012-02-14,0.04672
2012-02-15,0.05096
2012-02-16,-0.0171
2012-02-17,0.12679
2012-02-21,-0.02759
2012-02-22,-0.02949
2012-02-23,0.03203
2012-02-24,0.02257
2012-02-27,-0.01499
2012-02-28,-0.03141
2012-02-29,0.0129
