"Index","WTXR.Close"
2014-02-06,NA
2014-02-07,-0.31667
2014-02-12,0.38566
2014-02-14,0
2014-02-18,0
2014-02-19,-0.38566
2014-02-21,0.38566
2014-02-24,-0.38566
2014-02-26,0.38566
2014-02-27,-0.31015
2014-02-28,0
2014-03-06,0.08701
2014-03-11,0
2014-03-12,0.08004
2014-03-13,0
2014-03-14,0.11607
2014-03-19,-0.04196
2014-03-24,0.02817
2014-03-25,-0.02817
2014-03-26,0
2014-04-17,-0.08961
2014-04-22,0.0155
2014-04-23,0
2014-04-24,0.1431
2014-04-25,0.18232
2014-04-28,-0.11778
2014-05-01,0.06062
2014-05-05,-0.06062
2014-05-06,0
2014-05-07,0
2014-05-13,0.06062
2014-05-14,0
2014-05-20,0
2014-05-27,-0.19416
2014-05-30,0.19416
2014-06-04,-0.12516
2014-06-06,0.12516
2014-06-11,-0.12516
2014-06-13,-0.06899
2014-06-17,0
2014-06-20,0
2014-06-26,0.19416
2014-07-09,-0.12516
2014-07-11,0.12516
2014-07-15,0
2014-07-16,0.16252
2014-07-24,0
2014-08-01,-0.16252
2014-08-06,-0.02381
2014-08-11,0
2014-08-13,0
2014-08-14,-0.08811
2014-08-19,0.05129
2014-08-25,0.17185
2014-09-02,0
2014-09-04,0
2014-09-08,0.05129
2014-09-09,0
2014-09-11,0
2014-09-26,-0.05129
2014-09-30,-0.23639
2014-10-01,-0.06899
2014-10-08,0
2014-10-09,-0.15415
2014-10-15,0.15415
2014-10-16,0
2014-10-24,-0.15415
2014-10-30,0.13976
2014-10-31,-0.30228
2014-11-03,0.31667
2014-11-05,-0.31667
2014-11-06,-0.0198
2014-11-07,0.09531
2014-11-12,0
2014-11-13,0
2014-11-14,0
2014-11-18,-0.07551
2014-11-25,-0.12516
2014-11-26,0.10536
2014-12-16,0.18232
2014-12-18,-0.38077
2014-12-22,-0.15822
2014-12-23,0.35667
2014-12-26,-0.44629
2014-12-29,0.44629
