"Index","APPA.Close"
2013-11-05,0.46
2013-11-06,0.46
2013-11-07,0.47
2013-11-08,0.46
2013-11-11,0.46
2013-11-12,0.46
2013-11-13,0.47
2013-11-14,0.5
2013-11-15,0.5
2013-11-18,0.48
2013-11-19,0.48
2013-11-20,0.43
2013-11-21,0.44
2013-11-22,0.48
2013-11-25,0.46
2013-11-26,0.47
2013-11-27,0.47
2013-11-29,0.46
2013-12-02,0.46
2013-12-03,0.46
2013-12-04,0.46
2013-12-05,0.45
2013-12-06,0.46
2013-12-09,0.46
2013-12-10,0.46
2013-12-11,0.45
2013-12-12,0.44
2013-12-13,0.43
2013-12-16,0.44
2013-12-17,0.43
2013-12-18,0.42
2013-12-19,0.42
2013-12-20,0.44
2013-12-23,0.43
2013-12-24,0.43
2013-12-26,0.45
2013-12-27,0.46
2013-12-30,0.44
2013-12-31,0.44
2014-01-02,0.46
2014-01-03,0.45
2014-01-06,0.45
2014-01-07,0.44
2014-01-08,0.43
2014-01-09,0.44
2014-01-10,0.44
2014-01-13,10
2014-01-14,9.9
2014-01-15,10.55
2014-01-16,12.4
2014-01-17,11.58
2014-01-21,12
2014-01-22,12.3
2014-01-23,12.7
2014-01-24,12.5
2014-01-27,11.5
2014-01-28,12.05
2014-01-29,12
2014-01-30,11.83
2014-01-31,12.19
2014-02-03,12.05
2014-02-04,12.1
2014-02-05,11.51
2014-02-06,11.55
2014-02-07,11.38
2014-02-10,11.59
2014-02-11,11.33
2014-02-12,11.1
2014-02-13,11.22
2014-02-14,11.85
2014-02-18,12.91
2014-02-19,13.25
2014-02-20,13.65
2014-02-21,13.58
2014-02-24,13.85
2014-02-25,13.99
2014-02-26,13.93
2014-02-27,14.36
2014-02-28,14.03
2014-03-03,14.17
2014-03-04,14.58
2014-03-05,14.48
2014-03-06,13.96
2014-03-07,14.43
2014-03-10,14.47
2014-03-11,14.6
2014-03-12,14.37
2014-03-13,14.67
2014-03-14,14.9
2014-03-17,15.02
2014-03-18,15.18
2014-03-19,15.65
2014-03-20,15.5
2014-03-21,14.75
2014-03-24,14.26
2014-03-25,13.56
2014-03-26,13.68
2014-03-27,14.12
2014-03-28,13.67
2014-03-31,13.91
2014-04-01,14.95
2014-04-02,15.01
2014-04-03,14.64
2014-04-04,13.99
2014-04-07,13.53
2014-04-08,12.47
2014-04-09,12.92
2014-04-10,12.19
2014-04-11,11.54
2014-04-14,11.64
2014-04-15,11.34
2014-04-16,11.23
2014-04-17,11.68
2014-04-21,11.9
2014-04-22,12.24
2014-04-23,12.09
2014-04-24,12.27
2014-04-25,11.91
2014-04-28,12.13
2014-04-29,11.91
2014-04-30,12.05
2014-05-01,12.49
2014-05-02,12.75
2014-05-05,12.62
2014-05-06,12.65
2014-05-07,12.45
2014-05-08,11.99
2014-05-09,11.31
2014-05-12,11.54
2014-05-13,11.44
2014-05-14,11.36
2014-05-15,10.95
2014-05-16,11.74
2014-05-19,10.97
2014-05-20,11.22
2014-05-21,11.17
2014-05-22,11.43
2014-05-23,11.15
2014-05-27,11.76
2014-05-28,11.73
2014-05-29,11.88
2014-05-30,11.94
2014-06-02,11.76
2014-06-03,11.84
2014-06-04,11.16
2014-06-05,10.8
2014-06-06,10.61
2014-06-09,10.59
2014-06-10,10.52
2014-06-11,10.45
2014-06-12,10.66
2014-06-13,10.89
2014-06-16,11.32
2014-06-17,11.48
2014-06-18,11.78
2014-06-19,12.05
2014-06-20,12.95
2014-06-23,13.01
2014-06-24,12.77
2014-06-25,11.64
2014-06-26,11.88
2014-06-27,11.92
2014-06-30,12.32
2014-07-01,12.38
2014-07-02,12.46
2014-07-03,12.07
2014-07-07,11.26
2014-07-08,10.35
2014-07-09,10.27
2014-07-10,10.28
2014-07-11,10.05
2014-07-14,10.25
2014-07-15,9.77
2014-07-16,9.34
2014-07-17,8.83
2014-07-18,8.95
2014-07-21,9
2014-07-22,9.33
2014-07-23,9.21
2014-07-24,9.13
2014-07-25,9.16
2014-07-28,8.98
2014-07-29,9.2
2014-07-30,9.34
2014-07-31,8.79
2014-08-01,8.55
2014-08-04,8.77
2014-08-05,8.54
2014-08-06,8.44
2014-08-07,8.62
2014-08-08,8.65
2014-08-11,8.86
2014-08-12,8.81
2014-08-13,8.92
2014-08-14,8.96
2014-08-15,9.01
2014-08-18,9.23
2014-08-19,9.26
2014-08-20,8.95
2014-08-21,8.8
2014-08-22,9.19
2014-08-25,9.33
2014-08-26,9.79
2014-08-27,9.39
2014-08-28,9.29
2014-08-29,9.39
2014-09-02,9.56
2014-09-03,9.49
2014-09-04,9.35
2014-09-05,9.26
2014-09-08,9.61
2014-09-09,9.44
2014-09-10,9.41
2014-09-11,9.36
2014-09-12,9.05
2014-09-15,8.61
2014-09-16,8.73
2014-09-17,9.16
2014-09-18,9.16
2014-09-19,8.69
2014-09-22,8.72
2014-09-23,8.56
2014-09-24,8.62
2014-09-25,8.49
2014-09-26,8.44
2014-09-29,8.77
2014-09-30,8.33
2014-10-01,8.07
2014-10-02,8.25
2014-10-03,8.07
2014-10-06,7.69
2014-10-07,7.49
2014-10-08,7.52
2014-10-09,7.26
2014-10-10,7.07
2014-10-13,7.2
2014-10-14,7.26
2014-10-15,7.19
2014-10-16,7.44
2014-10-17,7.18
2014-10-20,7.36
2014-10-21,7.26
2014-10-22,7.2
2014-10-23,7.39
2014-10-24,7.93
2014-10-27,7.56
2014-10-28,8.07
2014-10-29,8.34
2014-10-30,8.83
2014-10-31,8.82
2014-11-03,8.94
2014-11-04,8.38
2014-11-05,7.89
2014-11-06,7.39
2014-11-07,7.43
2014-11-10,7.93
2014-11-11,8.16
2014-11-12,8.28
2014-11-13,8.01
2014-11-14,7.8
2014-11-17,7.97
2014-11-18,8.03
2014-11-19,7.62
2014-11-20,7.89
2014-11-21,8.05
2014-11-24,7.99
2014-11-25,7.61
2014-11-26,7.88
2014-11-28,7.71
2014-12-01,7.59
2014-12-02,7.85
2014-12-03,7.81
2014-12-04,7.61
2014-12-05,7.7
2014-12-08,7.55
2014-12-09,7.75
2014-12-10,8.11
2014-12-11,8.67
2014-12-12,9.05
2014-12-15,9.07
2014-12-16,9.06
2014-12-17,9.25
2014-12-18,9.3
2014-12-19,9.27
2014-12-22,9.72
2014-12-23,9.73
2014-12-24,9.75
2014-12-26,9.75
2014-12-29,10.04
2014-12-30,10.23
2014-12-31,10.06
2015-01-02,9.97
2015-01-05,9.84
2015-01-06,9.42
2015-01-07,9.47
2015-01-08,9.41
2015-01-09,9.37
2015-01-12,9.21
2015-01-13,9.17
